epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.506,1.45318,2.93057,1.41953,0.00988,0.68582,0.25492,0.16363,1.39956,3.12669,1.3376,0.000544981,0.000544981,0.000544981
2,287.605,1.48136,2.09952,1.3838,0.43366,0.43972,0.40173,0.2402,1.60034,2.48778,1.48313,0.00109157,0.00109157,0.00109157
3,431.287,1.43805,1.90484,1.37478,0.45718,0.43196,0.36815,0.23136,1.66405,2.85531,1.53533,0.00162898,0.00162898,0.00162898
4,574.541,1.45781,1.85409,1.37058,0.38292,0.45284,0.33241,0.20173,1.73027,2.83702,1.6617,0.00162574,0.00162574,0.00162574
5,718.064,1.42861,1.76402,1.33894,0.52677,0.56739,0.51434,0.34137,1.53201,2.10105,1.422,0.00161199,0.00161199,0.00161199
6,861.677,1.39375,1.66901,1.33142,0.46134,0.5292,0.46769,0.30619,1.56643,2.05305,1.45124,0.00159824,0.00159824,0.00159824
7,1004.95,1.35363,1.60388,1.29849,0.61501,0.46365,0.5195,0.33701,1.54779,2.05793,1.43241,0.00158448,0.00158448,0.00158448
8,1149.35,1.34594,1.52928,1.29479,0.63286,0.53115,0.54262,0.36749,1.44549,1.89717,1.32991,0.00157073,0.00157073,0.00157073
9,1292.71,1.30773,1.47777,1.26238,0.53409,0.61724,0.50032,0.30548,1.4867,1.96837,1.31979,0.00155698,0.00155698,0.00155698
10,1436.13,1.33218,1.48402,1.27287,0.66785,0.57854,0.56855,0.36731,1.51346,1.73617,1.37607,0.00154323,0.00154323,0.00154323
11,1579.86,1.29258,1.44357,1.25187,0.59668,0.58875,0.59052,0.37805,1.49244,1.65801,1.33604,0.00152947,0.00152947,0.00152947
12,1724.01,1.26138,1.3807,1.23074,0.76935,0.47184,0.57751,0.38398,1.49956,1.85927,1.36567,0.00151572,0.00151572,0.00151572
13,1867.75,1.23434,1.34017,1.21626,0.61341,0.52329,0.55814,0.34626,1.50531,1.78214,1.35613,0.00150197,0.00150197,0.00150197
14,2011.81,1.26342,1.32495,1.22929,0.608,0.61297,0.58618,0.39876,1.47013,1.67861,1.32876,0.00148821,0.00148821,0.00148821
15,2155.52,1.26025,1.32241,1.22047,0.71388,0.47738,0.57159,0.36682,1.45505,1.92834,1.32373,0.00147446,0.00147446,0.00147446
16,2299.24,1.23751,1.32387,1.22447,0.70473,0.59499,0.61533,0.42721,1.42467,1.50875,1.33061,0.00146071,0.00146071,0.00146071
17,2444.04,1.22478,1.24331,1.21411,0.70182,0.61576,0.61716,0.43563,1.43258,1.55876,1.30751,0.00144696,0.00144696,0.00144696
